ship_id,ship_name,ship_type_id,ship_type_name,datetime,lat,lon,port_reported,super_unique_id,haversine_dist,obs,tot,id_check
347703,NEMAN,8,Tanker,2016-12-16T08:25:02Z,54.69017,20.38373,kalingrad,"347703,NEMAN,8,Tanker",0,1752,28917.0567709043,"347703,NEMAN,8,Tankeryes"
347703,NEMAN,8,Tanker,2016-12-16T08:27:03Z,54.69002,20.36808,kalingrad,"347703,NEMAN,8,Tanker",1007.09889759029,1753,28917.0567709043,"347703,NEMAN,8,Tankeryes"
347749,KUBAN,3,Tug,2016-12-17T10:09:03Z,54.98218,20.30837,kalingrad,"347749,KUBAN,3,Tug",0,1064,34054.8485554536,"347749,KUBAN,3,Tugyes"
347749,KUBAN,3,Tug,2016-12-17T10:11:03Z,54.98685,20.39023,kalingrad,"347749,KUBAN,3,Tug",5254.57684183077,1065,34054.8485554536,"347749,KUBAN,3,Tugyes"
347754,RAMAVA,8,Tanker,2016-12-16T11:59:03Z,54.68563,20.23223,kalingrad,"347754,RAMAVA,8,Tanker",881.085391744077,432,70536.3433491763,"347754,RAMAVA,8,Tankeryes"
347754,RAMAVA,8,Tanker,2016-12-16T12:15:03Z,54.68336,20.16533,kalingrad,"347754,RAMAVA,8,Tanker",4312.51828845574,433,70536.3433491763,"347754,RAMAVA,8,Tankeryes"
347828,KOMMUNAR,3,Tug,2016-12-17T04:29:03Z,54.63287,19.90823,kalingrad,"347828,KOMMUNAR,3,Tug",,1,29723.5661921481,"347828,KOMMUNAR,3,Tugyes"
347828,KOMMUNAR,3,Tug,2016-12-17T04:41:02Z,54.64821,19.86672,kalingrad,"347828,KOMMUNAR,3,Tug",3172.84519543591,2,29723.5661921481,"347828,KOMMUNAR,3,Tugyes"
347948,LIGER,3,Tug,2016-12-17T01:21:03Z,54.52992,20.19698,kalingrad,"347948,LIGER,3,Tug",0,814,42067.6161913607,"347948,LIGER,3,Tugyes"
347948,LIGER,3,Tug,2016-12-17T01:23:03Z,54.69183,20.19699,kalingrad,"347948,LIGER,3,Tug",18023.738765869,815,42067.6161913607,"347948,LIGER,3,Tugyes"
347999,NIDA,6,Passenger,2016-12-20T10:17:03Z,54.63838,19.8915,kalingrad,"347999,NIDA,6,Passenger",0,854,228.017520299708,"347999,NIDA,6,Passengeryes"
347999,NIDA,6,Passenger,2016-12-20T10:25:02Z,54.6377,19.89132,kalingrad,"347999,NIDA,6,Passenger",76.5803705117989,855,228.017520299708,"347999,NIDA,6,Passengeryes"
348105,KENDRICK,3,Tug,2016-12-18T22:39:03Z,55.01933,20.22883,kalingrad,"348105,KENDRICK,3,Tug",0,3693,135576.813182214,"348105,KENDRICK,3,Tugyes"
348105,KENDRICK,3,Tug,2016-12-19T00:27:03Z,54.65533,19.81717,kalingrad,"348105,KENDRICK,3,Tug",48356.6307091402,3694,135576.813182214,"348105,KENDRICK,3,Tugyes"
348371,GLANFORD,3,Tug,2016-12-14T21:11:03Z,54.6391,19.9586,kalingrad,"348371,GLANFORD,3,Tug",0,692,337976.356044158,"348371,GLANFORD,3,Tugyes"
348371,GLANFORD,3,Tug,2016-12-14T21:13:03Z,54.63375,19.90582,kalingrad,"348371,GLANFORD,3,Tug",3452.24690412041,693,337976.356044158,"348371,GLANFORD,3,Tugyes"
348379,BERGEN T,8,Tanker,2016-12-17T13:17:02Z,54.65162,19.83767,kalingrad,"348379,BERGEN T,8,Tanker",0,1066,193979.116348811,"348379,BERGEN T,8,Tankeryes"
348379,BERGEN T,8,Tanker,2016-12-17T21:11:02Z,54.68385,20.16665,kalingrad,"348379,BERGEN T,8,Tanker",21480.7901919644,1067,193979.116348811,"348379,BERGEN T,8,Tankeryes"
348411,GLADIUS,3,Tug,2016-12-20T03:05:02Z,54.96205,20.36459,kalingrad,"348411,GLADIUS,3,Tug",0,1242,46211.9960455739,"348411,GLADIUS,3,Tugyes"
348411,GLADIUS,3,Tug,2016-12-20T10:25:02Z,54.96709,20.23661,kalingrad,"348411,GLADIUS,3,Tug",8197.98806817815,1243,46211.9960455739,"348411,GLADIUS,3,Tugyes"
348527,AMBAL,7,Cargo,2016-12-20T02:13:03Z,55.176,19.87267,kalingrad,"348527,AMBAL,7,Cargo",0,665,147086.489736169,"348527,AMBAL,7,Cargoyes"
348527,AMBAL,7,Cargo,2016-12-20T08:55:03Z,54.6685,19.80217,kalingrad,"348527,AMBAL,7,Cargo",56674.3781440913,666,147086.489736169,"348527,AMBAL,7,Cargoyes"
348769,SVYATITEL ALEKSIY,7,Cargo,2016-12-15T12:11:03Z,54.64499,20.05175,kalingrad,"348769,SVYATITEL ALEKSIY,7,Cargo",0,99,34080.176286554,"348769,SVYATITEL ALEKSIY,7,Cargoyes"
348769,SVYATITEL ALEKSIY,7,Cargo,2016-12-15T12:13:02Z,54.63951,20.01301,kalingrad,"348769,SVYATITEL ALEKSIY,7,Cargo",2569.04507919772,100,34080.176286554,"348769,SVYATITEL ALEKSIY,7,Cargoyes"
348771,VEGA,0,Unspecified,2016-12-19T14:03:03Z,54.65171,20.09799,kalingrad,"348771,VEGA,0,Unspecified",0,252,87039.2280318858,"348771,VEGA,0,Unspecifiedyes"
348771,VEGA,0,Unspecified,2016-12-20T07:09:03Z,54.63789,19.89179,kalingrad,"348771,VEGA,0,Unspecified",13371.0258964608,253,87039.2280318858,"348771,VEGA,0,Unspecifiedyes"
348785,ELENA,3,Tug,2016-12-18T14:29:03Z,54.69142,19.84605,kalingrad,"348785,ELENA,3,Tug",0,2403,149265.75880956,"348785,ELENA,3,Tugyes"
348785,ELENA,3,Tug,2016-12-18T14:31:03Z,54.65362,20.11025,kalingrad,"348785,ELENA,3,Tug",17519.4787368411,2404,149265.75880956,"348785,ELENA,3,Tugyes"
348850,RUSICH-10,7,Cargo,2016-12-13T13:29:02Z,54.69913,20.45422,kalingrad,"348850,RUSICH-10,7,Cargo",51.6170056384915,60,2388.10554263714,"348850,RUSICH-10,7,Cargoyes"
348850,RUSICH-10,7,Cargo,2016-12-13T13:49:02Z,54.69956,20.45387,kalingrad,"348850,RUSICH-10,7,Cargo",52.8980160610167,61,2388.10554263714,"348850,RUSICH-10,7,Cargoyes"
348898,SALTSTRAUM,8,Tanker,2016-12-14T02:47:02Z,54.68433,20.28833,kalingrad,"348898,SALTSTRAUM,8,Tanker",3799.61445226543,30,171677.262111544,"348898,SALTSTRAUM,8,Tankeryes"
348898,SALTSTRAUM,8,Tanker,2016-12-14T10:09:02Z,54.692,20.41883,kalingrad,"348898,SALTSTRAUM,8,Tanker",8440.39392965027,31,171677.262111544,"348898,SALTSTRAUM,8,Tankeryes"
349018,SORMOVSKIY-3068,7,Cargo,2016-12-14T02:47:02Z,54.65437,20.11265,kalingrad,"349018,SORMOVSKIY-3068,7,Cargo",4901.88972348077,42,67049.7601956675,"349018,SORMOVSKIY-3068,7,Cargoyes"
349018,SORMOVSKIY-3068,7,Cargo,2016-12-15T17:43:03Z,54.70193,20.4587,kalingrad,"349018,SORMOVSKIY-3068,7,Cargo",22892.8716333062,43,67049.7601956675,"349018,SORMOVSKIY-3068,7,Cargoyes"
349774,NEFTEGAZ-31,3,Tug,2016-12-14T21:35:02Z,54.66799,19.82082,kalingrad,"349774,NEFTEGAZ-31,3,Tug",0,55,176738.407494116,"349774,NEFTEGAZ-31,3,Tugyes"
349774,NEFTEGAZ-31,3,Tug,2016-12-15T01:37:03Z,55.17938,19.82133,kalingrad,"349774,NEFTEGAZ-31,3,Tug",56927.6837452597,56,176738.407494116,"349774,NEFTEGAZ-31,3,Tugyes"
